"Recorded Crime Offences (Number) by Garda Division, Type of Offence and"
"Quarter"

" "," ","2015Q1","2015Q2","2015Q3","2015Q4"
"1 ,Northern Region"
" ","13 ,Public order and other social code offences",162,152,131,128
" ","131 ,Disorderly conduct",136,127,109,105
" ","132 ,Trespass offences",8,12,8,5
" ","133 ,Liquor licensing offences",16,13,13,17
" ","134 ,Prostitution offences",0,0,0,0
" ","135 ,Regulated betting/money, collection/trading offences",0,0,0,0
" ","136 ,Social code offences (n.e.c.)",2,0,1,1
" ","15 ,Offences against government, justice procedures and organisation of crime",20,18,25,23
" ","151 ,Offences against government and its agents",0,2,0,6
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",2,1,1,0
" ","157 ,Offences while in custody, breach of court orders",18,15,24,17
"34 ,Kerry Garda Division"
" ","01 ,Homicide offences",0,0,1,0
" ","0111 ,Murder",0,0,1,0
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,0,0,0
" ","02 ,Sexual offences",18,19,11,23
" ","021 ,Rape and sexual assault",14,19,10,23
" ","022 ,Other sexual offences",4,0,1,0
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",99,129,120,129
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",3,4,1,0
" ","033 ,Harassment and related offences",17,7,15,9
" ","034 ,Assault causing harm, poisoning",29,29,34,30
" ","035 ,Other assault",50,89,70,90
" ","04 ,Dangerous or negligent acts",75,72,96,78
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",69,67,93,75
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",3,2,2,3
" ","0421 ,Endangerment with potential for serious harm/death",0,2,0,0
" ","0422 ,Abandoning a child, child neglect and cruelty",1,0,0,0
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",2,1,1,0
" ","05 ,Kidnapping and related offences",0,1,1,1
" ","0511 ,False imprisonment",0,0,1,0
" ","0512 ,Abduction of person under 16 years of age",0,0,0,1
" ","0513 ,Human trafficking offences",0,1,0,0
" ","06 ,Robbery, extortion and hijacking offences",6,0,7,5
" ","0611 ,Robbery of an establishment or institution",2,0,4,0
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",2,0,3,4
" ","0621 ,Blackmail or extortion",2,0,0,1
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",0,0,0,0
" ","07 ,Burglary and related offences",91,118,115,65
" ","0711 ,Aggravated burglary",2,2,0,0
" ","0712 ,Burglary (not aggravated)",88,116,115,64
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",1,0,0,1
" ","08 ,Theft and related offences",275,290,282,244
" ","081 ,Theft/taking of vehicle and related offences",15,15,10,11
" ","0821 ,Theft from person",7,6,16,6
" ","0822 ,Theft from shop",133,120,121,123
" ","084 ,Other thefts, handling stolen property",120,149,135,104
" ","09 ,Fraud, deception and related offences",48,26,20,45
" ","10 ,Controlled drug offences",82,104,112,87
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",1,2,4,2
" ","1021 ,Possession of drugs for sale or supply",16,19,21,16
" ","1022 ,Possession of drugs for personal use",62,80,81,67
" ","103 ,Other drug offences",3,3,6,2
" ","11 ,Weapons and Explosives Offences",14,18,9,12
" ","111 ,Explosives, chemical weapons offences",1,0,0,0
" ","1121 ,Discharging a firearm",0,1,0,0
" ","1122 ,Possession of a firearm",4,6,1,2
" ","113 ,Offensive weapons offences (n.e.c.)",8,11,8,8
" ","114 ,Fireworks offences",1,0,0,2
" ","12 ,Damage to property and to the environment",115,101,117,62
" ","1211 ,Arson",4,5,5,3
" ","1212 ,Criminal damage (not arson)",108,95,112,58
" ","1221 ,Litter offences",3,1,0,1
" ","13 ,Public order and other social code offences",348,431,486,388
" ","131 ,Disorderly conduct",325,387,435,345
" ","132 ,Trespass offences",6,14,9,7
" ","133 ,Liquor licensing offences",13,27,35,33
" ","134 ,Prostitution offences",1,0,1,0
" ","135 ,Regulated betting/money, collection/trading offences",0,2,5,1
" ","136 ,Social code offences (n.e.c.)",3,1,1,2
" ","15 ,Offences against government, justice procedures and organisation of crime",52,46,119,51
" ","151 ,Offences against government and its agents",2,2,0,1
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,1
" ","153 ,Perverting the course of justice",0,1,0,0
" ","157 ,Offences while in custody, breach of court orders",50,43,119,49
"35 ,Limerick Garda Division"
" ","01 ,Homicide offences",1,3,2,0
" ","0111 ,Murder",0,3,0,0
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",1,0,2,0
" ","02 ,Sexual offences",34,23,35,29
" ","021 ,Rape and sexual assault",30,21,33,26
" ","022 ,Other sexual offences",4,2,2,3
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",173,194,200,220
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",4,5,10,17
" ","033 ,Harassment and related offences",14,11,12,13
" ","034 ,Assault causing harm, poisoning",34,37,45,46
" ","035 ,Other assault",121,141,133,144
" ","04 ,Dangerous or negligent acts",79,116,77,114
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",62,97,65,89
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",9,4,5,4
" ","0421 ,Endangerment with potential for serious harm/death",4,2,4,2
" ","0422 ,Abandoning a child, child neglect and cruelty",0,2,2,1
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",4,11,1,18
" ","05 ,Kidnapping and related offences",1,1,1,3
" ","0511 ,False imprisonment",1,1,1,2
" ","0512 ,Abduction of person under 16 years of age",0,0,0,1
" ","0513 ,Human trafficking offences",0,0,0,0
" ","06 ,Robbery, extortion and hijacking offences",21,17,17,26
" ","0611 ,Robbery of an establishment or institution",2,4,2,8
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",17,13,15,18
" ","0621 ,Blackmail or extortion",2,0,0,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",0,0,0,0
" ","07 ,Burglary and related offences",265,291,273,275
" ","0711 ,Aggravated burglary",2,2,2,0
" ","0712 ,Burglary (not aggravated)",251,286,262,268
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",12,3,9,7
" ","08 ,Theft and related offences",1044,944,937,1042
" ","081 ,Theft/taking of vehicle and related offences",170,115,104,116
" ","0821 ,Theft from person",24,22,20,24
" ","0822 ,Theft from shop",309,300,334,392
" ","084 ,Other thefts, handling stolen property",541,507,479,510
" ","09 ,Fraud, deception and related offences",76,87,77,35
" ","10 ,Controlled drug offences",152,187,189,158
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",0,0,0,0
" ","1021 ,Possession of drugs for sale or supply",40,53,43,31
" ","1022 ,Possession of drugs for personal use",111,126,144,122
" ","103 ,Other drug offences",1,8,2,5
" ","11 ,Weapons and Explosives Offences",38,39,34,30
" ","111 ,Explosives, chemical weapons offences",1,0,0,0
" ","1121 ,Discharging a firearm",5,5,2,3
" ","1122 ,Possession of a firearm",2,7,1,1
" ","113 ,Offensive weapons offences (n.e.c.)",30,25,30,22
" ","114 ,Fireworks offences",0,2,1,4
" ","12 ,Damage to property and to the environment",423,437,371,427
" ","1211 ,Arson",32,36,19,28
" ","1212 ,Criminal damage (not arson)",385,400,350,397
" ","1221 ,Litter offences",6,1,2,2
" ","13 ,Public order and other social code offences",401,409,506,444
" ","131 ,Disorderly conduct",337,268,330,333
" ","132 ,Trespass offences",28,41,35,41
" ","133 ,Liquor licensing offences",12,23,22,17
" ","134 ,Prostitution offences",2,0,1,0
" ","135 ,Regulated betting/money, collection/trading offences",0,0,0,2
" ","136 ,Social code offences (n.e.c.)",22,77,118,51
" ","15 ,Offences against government, justice procedures and organisation of crime",215,324,315,414
" ","151 ,Offences against government and its agents",26,33,20,15
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",0,0,1,0
" ","157 ,Offences while in custody, breach of court orders",189,291,294,399
"4 ,Eastern Region"
" ","01 ,Homicide offences",2,3,4,3
" ","0111 ,Murder",1,1,1,2
" ","0112 ,Manslaughter",0,0,2,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",1,2,1,1
" ","02 ,Sexual offences",108,77,72,79
" ","021 ,Rape and sexual assault",100,67,65,72
" ","022 ,Other sexual offences",8,10,7,7
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",575,624,692,625
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",34,28,25,31
" ","033 ,Harassment and related offences",79,53,54,54
" ","034 ,Assault causing harm, poisoning",97,97,126,113
" ","035 ,Other assault",365,446,487,427
" ","04 ,Dangerous or negligent acts",257,273,287,303
" ","0411 ,Dangerous driving causing serious bodily harm",0,1,0,1
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",234,235,249,275
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",7,11,5,7
" ","0421 ,Endangerment with potential for serious harm/death",4,4,1,1
" ","0422 ,Abandoning a child, child neglect and cruelty",7,9,8,5
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",5,13,24,14
" ","05 ,Kidnapping and related offences",5,5,4,5
" ","0511 ,False imprisonment",3,4,3,3
" ","0512 ,Abduction of person under 16 years of age",1,1,0,1
" ","0513 ,Human trafficking offences",1,0,1,1
" ","06 ,Robbery, extortion and hijacking offences",69,55,48,58
" ","0611 ,Robbery of an establishment or institution",33,20,17,30
" ","0612 ,Robbery of cash or goods in transit",2,1,1,0
" ","0613 ,Robbery from the person",30,25,27,24
" ","0621 ,Blackmail or extortion",2,5,2,3
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",2,4,1,1
" ","07 ,Burglary and related offences",1446,1069,990,967
" ","0711 ,Aggravated burglary",22,7,8,10
" ","0712 ,Burglary (not aggravated)",1411,1046,976,945
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",13,16,6,12
" ","08 ,Theft and related offences",2548,2524,2579,2406
" ","081 ,Theft/taking of vehicle and related offences",246,269,224,207
" ","0821 ,Theft from person",56,42,61,63
" ","0822 ,Theft from shop",624,579,654,744
" ","084 ,Other thefts, handling stolen property",1622,1634,1640,1392
" ","09 ,Fraud, deception and related offences",180,158,167,155
" ","10 ,Controlled drug offences",342,671,689,451
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",4,12,11,10
" ","1021 ,Possession of drugs for sale or supply",60,90,109,90
" ","1022 ,Possession of drugs for personal use",271,550,557,338
" ","103 ,Other drug offences",7,19,12,13
" ","11 ,Weapons and Explosives Offences",70,60,94,95
" ","111 ,Explosives, chemical weapons offences",1,0,1,3
" ","1121 ,Discharging a firearm",2,3,6,8
" ","1122 ,Possession of a firearm",11,8,12,5
" ","113 ,Offensive weapons offences (n.e.c.)",56,49,72,62
" ","114 ,Fireworks offences",0,0,3,17
" ","12 ,Damage to property and to the environment",856,903,911,775
" ","1211 ,Arson",66,75,73,62
" ","1212 ,Criminal damage (not arson)",781,825,833,709
" ","1221 ,Litter offences",9,3,5,4
" ","13 ,Public order and other social code offences",726,836,862,802
" ","131 ,Disorderly conduct",578,683,712,664
" ","132 ,Trespass offences",110,110,122,84
" ","133 ,Liquor licensing offences",17,24,17,35
" ","134 ,Prostitution offences",0,2,2,2
" ","135 ,Regulated betting/money, collection/trading offences",4,9,5,5
" ","136 ,Social code offences (n.e.c.)",17,8,4,12
" ","15 ,Offences against government, justice procedures and organisation of crime",271,323,283,286
" ","151 ,Offences against government and its agents",5,7,6,2
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",0,0,0,3
" ","157 ,Offences while in custody, breach of court orders",266,316,277,281
"41 ,Laois/Offaly Garda Division"
" ","01 ,Homicide offences",0,0,0,0
" ","0111 ,Murder",0,0,0,0
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,0,0,0
" ","02 ,Sexual offences",19,14,17,19
" ","021 ,Rape and sexual assault",18,12,17,15
" ","022 ,Other sexual offences",1,2,0,4
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",118,163,184,132
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",3,7,5,13
" ","033 ,Harassment and related offences",16,17,9,10
" ","034 ,Assault causing harm, poisoning",19,25,38,24
" ","035 ,Other assault",80,114,132,85
" ","04 ,Dangerous or negligent acts",52,47,53,66
" ","0411 ,Dangerous driving causing serious bodily harm",0,1,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",42,40,43,58
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",4,1,1,2
" ","0421 ,Endangerment with potential for serious harm/death",3,1,1,0
" ","0422 ,Abandoning a child, child neglect and cruelty",3,2,3,1
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",0,2,5,5
" ","05 ,Kidnapping and related offences",3,2,1,1
" ","0511 ,False imprisonment",1,2,1,0
" ","0512 ,Abduction of person under 16 years of age",1,0,0,1
" ","0513 ,Human trafficking offences",1,0,0,0
" ","06 ,Robbery, extortion and hijacking offences",5,7,8,9
" ","0611 ,Robbery of an establishment or institution",0,1,1,5
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",5,5,6,4
" ","0621 ,Blackmail or extortion",0,1,1,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",0,0,0,0
" ","07 ,Burglary and related offences",274,257,226,219
" ","0711 ,Aggravated burglary",5,3,2,2
" ","0712 ,Burglary (not aggravated)",267,254,223,216
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",2,0,1,1
" ","08 ,Theft and related offences",553,574,515,487
" ","081 ,Theft/taking of vehicle and related offences",52,50,34,41
" ","0821 ,Theft from person",16,8,20,15
" ","0822 ,Theft from shop",100,90,118,143
" ","084 ,Other thefts, handling stolen property",385,426,343,288
" ","09 ,Fraud, deception and related offences",36,36,32,25
" ","10 ,Controlled drug offences",64,101,289,95
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",2,3,2,2
" ","1021 ,Possession of drugs for sale or supply",25,22,35,31
" ","1022 ,Possession of drugs for personal use",36,72,248,56
" ","103 ,Other drug offences",1,4,4,6
" ","11 ,Weapons and Explosives Offences",17,12,21,21
" ","111 ,Explosives, chemical weapons offences",0,0,0,3
" ","1121 ,Discharging a firearm",1,0,2,1
" ","1122 ,Possession of a firearm",1,2,0,1
" ","113 ,Offensive weapons offences (n.e.c.)",15,10,17,15
" ","114 ,Fireworks offences",0,0,2,1
" ","12 ,Damage to property and to the environment",224,214,202,168
" ","1211 ,Arson",14,21,16,15
" ","1212 ,Criminal damage (not arson)",208,193,185,152
" ","1221 ,Litter offences",2,0,1,1
" ","13 ,Public order and other social code offences",142,175,178,154
" ","131 ,Disorderly conduct",114,149,147,127
" ","132 ,Trespass offences",24,20,24,21
" ","133 ,Liquor licensing offences",1,4,6,2
" ","134 ,Prostitution offences",0,0,0,1
" ","135 ,Regulated betting/money, collection/trading offences",1,0,0,0
" ","136 ,Social code offences (n.e.c.)",2,2,1,3
" ","15 ,Offences against government, justice procedures and organisation of crime",62,49,60,54
" ","151 ,Offences against government and its agents",1,0,0,1
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",0,0,0,1
" ","157 ,Offences while in custody, breach of court orders",61,49,60,52
"42 ,Meath  Garda Division"
" ","01 ,Homicide offences",0,2,0,2
" ","0111 ,Murder",0,0,0,1
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,2,0,1
" ","02 ,Sexual offences",30,15,6,15
" ","021 ,Rape and sexual assault",30,11,5,14
" ","022 ,Other sexual offences",0,4,1,1
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",126,117,130,124
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",7,3,5,5
" ","033 ,Harassment and related offences",15,10,10,11
" ","034 ,Assault causing harm, poisoning",22,18,24,21
" ","035 ,Other assault",82,86,91,87
" ","04 ,Dangerous or negligent acts",44,58,78,64
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",39,55,71,59
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",0,0,0,3
" ","0421 ,Endangerment with potential for serious harm/death",1,0,0,0
" ","0422 ,Abandoning a child, child neglect and cruelty",4,3,3,0
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",0,0,4,2
" ","05 ,Kidnapping and related offences",0,0,1,0
" ","0511 ,False imprisonment",0,0,1,0
" ","0512 ,Abduction of person under 16 years of age",0,0,0,0
" ","0513 ,Human trafficking offences",0,0,0,0
" ","06 ,Robbery, extortion and hijacking offences",20,15,6,12
" ","0611 ,Robbery of an establishment or institution",8,7,2,6
" ","0612 ,Robbery of cash or goods in transit",0,1,1,0
" ","0613 ,Robbery from the person",11,5,3,6
" ","0621 ,Blackmail or extortion",1,0,0,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",0,2,0,0
" ","07 ,Burglary and related offences",255,235,235,154
" ","0711 ,Aggravated burglary",2,2,2,3
" ","0712 ,Burglary (not aggravated)",250,229,231,148
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",3,4,2,3
" ","08 ,Theft and related offences",535,506,501,516
" ","081 ,Theft/taking of vehicle and related offences",70,92,72,54
" ","0821 ,Theft from person",9,17,14,13
" ","0822 ,Theft from shop",131,118,117,142
" ","084 ,Other thefts, handling stolen property",325,279,298,307
" ","09 ,Fraud, deception and related offences",29,25,49,39
" ","10 ,Controlled drug offences",48,55,69,63
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",1,3,1,2
" ","1021 ,Possession of drugs for sale or supply",6,6,10,9
" ","1022 ,Possession of drugs for personal use",41,43,57,51
" ","103 ,Other drug offences",0,3,1,1
" ","11 ,Weapons and Explosives Offences",11,7,13,14
" ","111 ,Explosives, chemical weapons offences",0,0,0,0
" ","1121 ,Discharging a firearm",0,0,1,1
" ","1122 ,Possession of a firearm",3,0,2,1
" ","113 ,Offensive weapons offences (n.e.c.)",8,7,10,8
" ","114 ,Fireworks offences",0,0,0,4
" ","12 ,Damage to property and to the environment",138,162,154,149
" ","1211 ,Arson",11,11,12,14
" ","1212 ,Criminal damage (not arson)",124,148,141,135
" ","1221 ,Litter offences",3,3,1,0
" ","13 ,Public order and other social code offences",153,175,176,133
" ","131 ,Disorderly conduct",118,136,133,100
" ","132 ,Trespass offences",26,29,32,13
" ","133 ,Liquor licensing offences",7,8,7,19
" ","134 ,Prostitution offences",0,0,1,0
" ","135 ,Regulated betting/money, collection/trading offences",0,0,1,0
" ","136 ,Social code offences (n.e.c.)",2,2,2,1
" ","15 ,Offences against government, justice procedures and organisation of crime",39,56,52,65
" ","151 ,Offences against government and its agents",0,2,2,0
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",0,0,0,0
" ","157 ,Offences while in custody, breach of court orders",39,54,50,65
"43 ,Wicklow  Garda Division"
" ","01 ,Homicide offences",1,1,0,0
" ","0111 ,Murder",0,1,0,0
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",1,0,0,0
" ","02 ,Sexual offences",21,16,24,12
" ","021 ,Rape and sexual assault",18,14,22,12
" ","022 ,Other sexual offences",3,2,2,0
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",106,111,121,118
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",10,8,7,4
" ","033 ,Harassment and related offences",19,13,16,16
" ","034 ,Assault causing harm, poisoning",12,18,17,17
" ","035 ,Other assault",65,72,81,81
" ","04 ,Dangerous or negligent acts",52,53,43,37
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",49,38,38,34
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",0,3,1,0
" ","0421 ,Endangerment with potential for serious harm/death",0,2,0,1
" ","0422 ,Abandoning a child, child neglect and cruelty",0,4,0,1
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",3,6,4,1
" ","05 ,Kidnapping and related offences",1,1,0,1
" ","0511 ,False imprisonment",1,0,0,1
" ","0512 ,Abduction of person under 16 years of age",0,1,0,0
" ","0513 ,Human trafficking offences",0,0,0,0
" ","06 ,Robbery, extortion and hijacking offences",11,10,13,6
" ","0611 ,Robbery of an establishment or institution",6,5,1,3
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",4,3,11,1
" ","0621 ,Blackmail or extortion",1,1,1,2
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",0,1,0,0
" ","07 ,Burglary and related offences",303,213,196,183
" ","0711 ,Aggravated burglary",6,1,4,1
" ","0712 ,Burglary (not aggravated)",293,207,191,181
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",4,5,1,1
" ","08 ,Theft and related offences",509,545,599,441
" ","081 ,Theft/taking of vehicle and related offences",38,32,36,39
" ","0821 ,Theft from person",11,4,9,6
" ","0822 ,Theft from shop",119,151,155,135
" ","084 ,Other thefts, handling stolen property",341,358,399,261
" ","09 ,Fraud, deception and related offences",34,28,26,19
" ","10 ,Controlled drug offences",132,161,177,117
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",0,1,1,0
" ","1021 ,Possession of drugs for sale or supply",12,22,36,15
" ","1022 ,Possession of drugs for personal use",115,134,137,98
" ","103 ,Other drug offences",5,4,3,4
" ","11 ,Weapons and Explosives Offences",20,15,20,27
" ","111 ,Explosives, chemical weapons offences",0,0,0,0
" ","1121 ,Discharging a firearm",1,1,0,2
" ","1122 ,Possession of a firearm",2,0,2,1
" ","113 ,Offensive weapons offences (n.e.c.)",17,14,18,17
" ","114 ,Fireworks offences",0,0,0,7
" ","12 ,Damage to property and to the environment",172,184,188,156
" ","1211 ,Arson",12,10,11,11
" ","1212 ,Criminal damage (not arson)",158,174,175,144
" ","1221 ,Litter offences",2,0,2,1
" ","13 ,Public order and other social code offences",185,162,190,174
" ","131 ,Disorderly conduct",141,130,158,148
" ","132 ,Trespass offences",32,23,30,16
" ","133 ,Liquor licensing offences",3,4,0,3
" ","134 ,Prostitution offences",0,0,0,0
" ","135 ,Regulated betting/money, collection/trading offences",1,2,2,3
" ","136 ,Social code offences (n.e.c.)",8,3,0,4
" ","15 ,Offences against government, justice procedures and organisation of crime",76,76,70,61
" ","151 ,Offences against government and its agents",0,3,3,0
" ","152 ,Organisation of crime and conspiracy to commit crime",0,0,0,0
" ","153 ,Perverting the course of justice",0,0,0,2
" ","157 ,Offences while in custody, breach of court orders",76,73,67,59
"44 ,Westmeath  Garda Division"
" ","01 ,Homicide offences",0,0,0,1
" ","0111 ,Murder",0,0,0,1
" ","0112 ,Manslaughter",0,0,0,0
" ","0113 ,Infanticide",0,0,0,0
" ","012 ,Dangerous driving leading to death",0,0,0,0
" ","02 ,Sexual offences",8,6,8,5
" ","021 ,Rape and sexual assault",8,6,6,5
" ","022 ,Other sexual offences",0,0,2,0
" ","03 ,Attempts/threats to murder, assaults, harassments and related offences",70,80,69,83
" ","0311 ,Murder-attempt",0,0,0,0
" ","0312 ,Murder-threat",6,3,1,1
" ","033 ,Harassment and related offences",8,5,4,5
" ","034 ,Assault causing harm, poisoning",18,17,16,21
" ","035 ,Other assault",38,55,48,56
" ","04 ,Dangerous or negligent acts",38,44,52,65
" ","0411 ,Dangerous driving causing serious bodily harm",0,0,0,0
" ","0412 ,Driving/in charge of a vehicle while over legal alcohol limit",38,41,42,58
" ","0413 ,Driving/in charge of a vehicle under the influence of drugs",0,2,2,1
" ","0421 ,Endangerment with potential for serious harm/death",0,0,0,0
" ","0422 ,Abandoning a child, child neglect and cruelty",0,0,0,3
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",0,1,8,3
" ","05 ,Kidnapping and related offences",1,0,2,2
" ","0511 ,False imprisonment",1,0,1,2
" ","0512 ,Abduction of person under 16 years of age",0,0,0,0
" ","0513 ,Human trafficking offences",0,0,1,0
" ","06 ,Robbery, extortion and hijacking offences",2,10,4,8
" ","0611 ,Robbery of an establishment or institution",1,2,2,4
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",1,5,1,2
" ","0621 ,Blackmail or extortion",0,2,0,1
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",0,1,1,1
" ","07 ,Burglary and related offences",112,73,90,65
" ","0711 ,Aggravated burglary",0,0,0,0
" ","0712 ,Burglary (not aggravated)",110,72,89,65
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",2,1,1,0
" ","08 ,Theft and related offences",302,266,264,300
" ","081 ,Theft/taking of vehicle and related offences",15,15,12,12
" ","0821 ,Theft from person",6,2,2,5
" ","0822 ,Theft from shop",105,66,83,121
" ","084 ,Other thefts, handling stolen property",176,183,167,162
" ","09 ,Fraud, deception and related offences",26,30,23,28
" ","10 ,Controlled drug offences",32,270,78,71
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",1,2,6,2
" ","1021 ,Possession of drugs for sale or supply",7,22,15,11
" ","1022 ,Possession of drugs for personal use",23,239,55,57
" ","103 ,Other drug offences",1,7,2,1
" ","11 ,Weapons and Explosives Offences",10,9,17,13
" ","111 ,Explosives, chemical weapons offences",1,0,0,0
" ","1121 ,Discharging a firearm",0,0,1,1
" ","1122 ,Possession of a firearm",2,2,0,0
" ","113 ,Offensive weapons offences (n.e.c.)",7,7,15,11
" ","114 ,Fireworks offences",0,0,1,1
" ","12 ,Damage to property and to the environment",117,116,115,116
" ","1211 ,Arson",8,4,9,3
" ","1212 ,Criminal damage (not arson)",108,112,106,113
" ","1221 ,Litter offences",1,0,0,0
" ","13 ,Public order and other social code offences",97,169,165,200
" ","131 ,Disorderly conduct",84,148,150,180
" ","132 ,Trespass offences",6,12,12,13
" ","133 ,Liquor licensing offences",4,7,2,4
" ","134 ,Prostitution offences",0,0,0,1
" ","135 ,Regulated betting/money, collection/trading offences",1,1,0,1
