"Recorded Crime Offences (Number) by Garda Division, Type of Offence and"
"Quarter"

" "," ","2015Q1","2015Q2","2015Q3","2015Q4"
"1 ,Northern Region"
" ","0422 ,Abandoning a child, child neglect and cruelty",0,0,1,0
" ","0423 ,Unseaworthy/dangerous use of boat or ship",0,0,1,0
" ","0424 ,False alarm/interference with aircraft or air transport facilities",0,0,0,0
" ","0425 ,Endangering traffic offences",0,1,2,0
" ","05 ,Kidnapping and related offences",2,0,1,1
" ","0511 ,False imprisonment",0,0,0,0
" ","0512 ,Abduction of person under 16 years of age",0,0,0,0
" ","0513 ,Human trafficking offences",2,0,1,1
" ","06 ,Robbery, extortion and hijacking offences",8,0,5,2
" ","0611 ,Robbery of an establishment or institution",5,0,3,1
" ","0612 ,Robbery of cash or goods in transit",0,0,0,0
" ","0613 ,Robbery from the person",3,0,2,1
" ","0621 ,Blackmail or extortion",0,0,0,0
" ","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel",0,0,0,0
" ","07 ,Burglary and related offences",68,88,97,72
" ","0711 ,Aggravated burglary",1,1,1,1
" ","0712 ,Burglary (not aggravated)",66,87,94,71
" ","0713 ,Possession of an article (with intent to burgle, steal, demand)",1,0,2,0
" ","08 ,Theft and related offences",148,160,174,182
" ","081 ,Theft/taking of vehicle and related offences",5,10,6,5
" ","0821 ,Theft from person",2,3,7,1
" ","0822 ,Theft from shop",49,43,47,88
" ","084 ,Other thefts, handling stolen property",92,104,114,88
" ","09 ,Fraud, deception and related offences",19,19,34,24
" ","10 ,Controlled drug offences",48,35,35,38
" ","1011 ,Importation of drugs",0,0,0,0
" ","1012 ,Cultivation or manufacture of drugs",2,2,1,2
" ","1021 ,Possession of drugs for sale or supply",8,4,4,8
" ","1022 ,Possession of drugs for personal use",37,27,28,26
" ","103 ,Other drug offences",1,2,2,2
" ","11 ,Weapons and Explosives Offences",6,7,9,19
" ","111 ,Explosives, chemical weapons offences",0,2,0,0
" ","1121 ,Discharging a firearm",1,0,1,1
" ","1122 ,Possession of a firearm",0,0,0,0
" ","113 ,Offensive weapons offences (n.e.c.)",5,5,7,13
" ","114 ,Fireworks offences",0,0,1,5
" ","12 ,Damage to property and to the environment",118,154,106,131
" ","1211 ,Arson",5,11,15,10
" ","1212 ,Criminal damage (not arson)",113,142,91,120
" ","1221 ,Litter offences",0,1,0,1
" ","13 ,Public order and other social code offences",141,166,197,174
" ","131 ,Disorderly conduct",127,151,174,157
" ","132 ,Trespass offences",9,12,9,6
" ","133 ,Liquor licensing offences",4,3,11,5
" ","134 ,Prostitution offences",0,0,0,1
" ","135 ,Regulated betting/money, collection/trading offences",0,0,2,3
" ","136 ,Social code offences (n.e.c.)",1,0,1,2
" ","15 ,Offences against government, justice procedures and organisation of crime",58,37,42,44
" ","151 ,Offences against government and its agents",0,2,1,2
" ","152 ,Organisation of crime and conspiracy to commit crime",2,0,0,0
" ","153 ,Perverting the course of justice",1,0,0,1
" ","157 ,Offences while in custody, breach of court orders",55,35,41,41
"14 ,Louth  Garda Division"
" ","01 ,Homicide offences",0,0,3,1
" ","0111 ,Murder",0,0,3,1
