Off_Name,Add_1,Add_2,Add_3,County,Gender,Attendance Time,Irish Language,Fee,Ethos,Number of Females 2014,Number of Males 2014,xcoord,ycoord,Long,Lat,Roll_No
Lucan Community College,Esker Drive,Lucan,Co Dublin,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,386,468,303291,234144,303291,234144,70080T
Colaiste Ghleann na hAbhann,Riversdale Community College,Blanchardstown Road North,Dublin 15,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,187,237,307842,240285,307842,240285,70081V
Sallynoggin College of Further Education,Pearse Street,Sallynoggin,Co Dublin,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,478,232,324209.35,226360.55,324209.34,226360.55,70090W
Col�iste Chilliain,B�thar Nangor,Cluain Dolc�in,Baile Atha Cliath 22,Dublin,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,203,197,306493,231559,306493,231559,70100W
Stillorgan College of Further Education,Further Education,Old Dublin Rd,Stillorgan,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,106,110,320094.27,228267.17,320094.28,228267.16,70110C
St Finians Community College,Swords,Co Dublin,,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,272,344,317958,247576,317958,247576,70120F
Fingal Community College,Seatown Road,Swords,Co Dublin,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,254,282,318490,247084,318490,247084,70121H
Greenhills College,Limekiln Avenue,Greenhills,Dublin 12,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,163,324,310967,229898,310967,229898,70130I
Firhouse Community College,Firhouse Road,Dublin 24,,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,285,423,310206,226342,310206,226342,70140L
Mount Seskin Community College,Jobstown,Tallaght,Dublin 24,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,129,163,306097,226537,306097,226537,70141N
Cabra Community College,Kilkieran Road,Cabra,Dublin 7,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,77,89,313589,236728,313589,236728,70150O
St. Kevins College,Clogher Road,Crumlin,Dublin 12,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,92,214,313677,232114,313677,232114,70160R
Crumlin College Of Further Education,Crumlin Road,Crumlin,Dublin 12,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,412,254,313087.6,232296.33,313087.6,232296.33,70170U
Col�iste Eoin,Cappagh Road,Finglas West,Dublin 11,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,34,97,312532,238849,312532,238849,70180A
Colaiste Ide College of Further Education,Cardiffsbridge Road,Finglas West,Dublin11,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,291,432,312378,238671,312378,238671,70190D
Ringsend College,Cambridge Road,Ringsend,Dublin 4,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,75,80,318332,234063,318332,234063,70200D
Inchicore College of Further Education,Emmet Road,Inchicore,Dublin 8,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,457,344,312412.69,233528.14,312412.69,233528.14,70220J
Killester College of Further Education,Collins Avenue,Killester,Dublin 5,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,194,150,319303.19,237145.71,319303.19,237145.71,70230M
Kylemore College,Kylemore Road,Ballyfermot,Dublin 10,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,81,262,309829,234006,309829,234006,70240P
Marino College,14-20 Marino Mart,Fairview,Dublin 3,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,451,175,317773,236344,317773,236344,70250S
St Mac Dara's Community College,Wellington Lane,Templeogue,Dublin 6W,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,379,477,311558,228722,311558,228722,70260V
Rathmines College,Town Hall,Rathmines,Dublin 6,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,308,368,315658,231802,315658,231802,70280E
Ballsbridge College of Further Education,Shelbourne Road,Ballsbridge,Dublin 4,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,236,213,317879.1,232511.23,317879.11,232511.23,70290H
Pearse College - Colaiste an Phiarsaigh,Clogher Road,Crumlin,Dublin 12,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,215,496,313669,232024,313669,232024,70300H
Plunket College,Swords Road,Whitehall,Dublin 9,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,157,305,316621,237990,316621,237990,70310K
Whitehall House Senior College,Swords Road,Dublin 9,,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,306,269,315436.95,237115.59,315436.95,237115.59,70320N
Margaret Aylward Community College,The Thatch Road,Whitehall,Dublin 9,Dublin,Girls,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,220,0,317125,238510,317125,238510,70321P
Col�iste Dh�laigh,Barryscourt Road,Coolock,Dublin 17,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,121,205,318911,239980,318911,239980,70330Q
Liberties College,Bull Alley Street,Dublin 8,,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,557,240,315201.02,233652.44,315201.02,233652.44,70340T
Ballyfermot College of Further Education,Ballyfermot Road,Dublin 10,,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,687,769,309814.4,233451.78,309814.4,233451.79,70342A
St Bricin's Vocational School,Belturbet,Co Cavan,,Cavan,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,84,113,236450,316857,236450,316857,70350W
St. Mogue's College,Bawnboy,Belturbet,Co Cavan,Cavan,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,86,106,221106,319290,221106,319290,70360C
Breifne College,Cootehill Rd,Cavan,Co Cavan,Cavan,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,299,361,242874,306854,242874,306854,70380I
Virginia College,Virginia,Co Cavan,,Cavan,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,313,405,260344,287231,260344,287231,70390L
Borris Vocational School,Borris,Co Carlow,,Carlow,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,197,271,273382,150053,273382,150053,70400L
Col�iste Eoin,Hacketstown,Co Carlow,,Carlow,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,106,122,297477,179893,297477,179893,70410O
Carlow Vocational School,Kilkenny Road,Carlow,Co. Carlow,Carlow,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,555,466,271798,175823,271798,175823,70420R
Vocational School Muine Bheag,Muine Bheag,Co Carlow,,Carlow,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,104,116,270980,161698,270980,161698,70430U
Gaelchol�iste Cheatharlach,Easca,Ceatharlach,,Carlow,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,190,175,273462,176763,273462,176763,70440A
Killarney Community College,New Road,Killarney,Co Kerry,Kerry,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,190,219,95859,91078,95859,91078,70450D
Community College Killorglin,Killorglin,Co Kerry,,Kerry,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,79,108,77794,95672,77794,95672,70460G
Listowel Community College,Listowel,Co Kerry,,Kerry,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,177,115,99483,133970,99483,133970,70500P
Castleisland Community College,Tonbwee,Castleisland,Co. Kerry,Kerry,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,100,171,100513,109340,100513,109340,70520V
Causeway Comprehensive School,Causeway,Tralee,Co Kerry,Kerry,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,281,311,81916,130298,81916,130298,70540E
Tralee Community College,Clash,Tralee,,Kerry,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,331,229,84949,114707,84949,114707,70550H
