nome,provincia,gml_id,civico,istat,cap,comune,provincia,regione,lon,lat
Via Legnago,BARI,IN.NUMERICIVICI.2012.807907,10,16072043,70038,TERLIZZI,BARI,PUGLIA,16.550378,41.130188
Via Pulli,BARI,IN.NUMERICIVICI.2012.807910,35,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544927,41.128942
Via Giuseppe Mazzini,BARI,IN.NUMERICIVICI.2012.807922,67,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544097,41.128232
Via Diaz,BARI,IN.NUMERICIVICI.2012.807956,2,16072043,70038,TERLIZZI,BARI,PUGLIA,16.542325,41.131814
Via Donizetti,BARI,IN.NUMERICIVICI.2012.808001,47,16072043,70038,TERLIZZI,BARI,PUGLIA,16.538209,41.129361
Via Cagnetta,BARI,IN.NUMERICIVICI.2012.808014,63,16072043,70038,TERLIZZI,BARI,PUGLIA,16.536718,41.131107
Via Madonna delle Grazie,BARI,IN.NUMERICIVICI.2012.808019,35,16072043,70038,TERLIZZI,BARI,PUGLIA,16.547009,41.126784
Via Siena,BARI,IN.NUMERICIVICI.2012.808048,8,16072043,70038,TERLIZZI,BARI,PUGLIA,16.537824,41.131396
Via Mameli,BARI,IN.NUMERICIVICI.2012.808091,42,16072043,70038,TERLIZZI,BARI,PUGLIA,16.545516,41.129567
Via Sabotino,BARI,IN.NUMERICIVICI.2012.808348,6,16072043,70038,TERLIZZI,BARI,PUGLIA,16.544312,41.130837
Via Mameli,BARI,IN.NUMERICIVICI.2012.808359,72,16072043,70038,TERLIZZI,BARI,PUGLIA,16.545573,41.129071
Via Fabrizio,BARI,IN.NUMERICIVICI.2012.808412,39,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546011,41.129323
Via Carellario,BARI,IN.NUMERICIVICI.2012.808415,41,16072043,70038,TERLIZZI,BARI,PUGLIA,16.548095,41.129338
Via Verne,BARI,IN.NUMERICIVICI.2012.808458,21,16072043,70038,TERLIZZI,BARI,PUGLIA,16.547004,41.131659
Via Toti,BARI,IN.NUMERICIVICI.2012.808482,27,16072043,70038,TERLIZZI,BARI,PUGLIA,16.546425,41.129821
Via Paisiello,BARI,IN.NUMERICIVICI.2012.808576,38,16072043,70038,TERLIZZI,BARI,PUGLIA,16.53852,41.12942
Viale Roma,BARI,IN.NUMERICIVICI.2012.808580,69/b,16072043,70038,TERLIZZI,BARI,PUGLIA,16.552054,41.130259
Via Pasquale Fiore,BARI,IN.NUMERICIVICI.2012.808680,70,16072043,70038,TERLIZZI,BARI,PUGLIA,16.538432,41.130264
Via Metastasio,BARI,IN.NUMERICIVICI.2012.808760,44,16072043,70038,TERLIZZI,BARI,PUGLIA,16.542876,41.127255
Via Raffaello,BARI,IN.NUMERICIVICI.2012.808782,14,16072043,70038,TERLIZZI,BARI,PUGLIA,16.543498,41.127752
Via Einaudi,BARI,IN.NUMERICIVICI.2012.808792,18,16072043,70038,TERLIZZI,BARI,PUGLIA,16.551491,41.132899
