Latitude,Longitude,Number of casualties,Time of accident
53.964859,-1.107817,1,14:30:00
54.009863,-0.997228,2,11:45:00
53.94822,-1.100401,1,01:00:00
53.989907,-1.027588,2,11:57:00
54.031413,-1.069399,1,18:35:00
54.001266,-1.072788,2,11:35:00
53.928071,-1.112805,2,17:33:00
53.986865,-1.069035,1,12:12:00
53.965026,-1.074095,1,16:40:00
53.95247,-1.012047,1,11:15:00
53.945967,-1.101973,3,13:47:00
53.964358,-1.08071,1,10:50:00
53.927278,-1.072113,1,17:00:00
53.952153,-1.070327,1,23:15:00
53.922297,-1.156007,1,15:40:00
54.015672,-0.983567,1,18:00:00
53.951374,-1.090718,2,09:26:00
53.964827,-1.061173,1,08:10:00
53.989128,-1.067612,1,15:42:00
53.954442,-1.064195,2,18:10:00
53.958903,-1.071457,1,08:30:00
53.963667,-1.086777,1,08:25:00
53.959468,-1.088941,1,09:15:00
53.986694,-1.124096,1,12:50:00
53.941119,-1.07429,1,12:00:00
53.957454,-1.092354,1,14:20:00
53.986058,-1.121929,2,08:50:00
53.956519,-1.089951,1,14:20:00
53.958046,-1.080453,1,16:30:00
53.976484,-1.090324,2,07:44:00
53.976518,-1.097215,1,00:05:00
53.989915,-1.027496,2,16:14:00
53.999341,-1.072571,1,19:50:00
53.940393,-1.087499,1,15:47:00
53.922208,-1.118503,2,10:50:00
53.990264,-1.08682,1,15:30:00
53.949911,-0.940611,1,10:05:00
53.948551,-1.100196,1,19:45:00
53.960226,-1.0555,1,16:15:00
53.967959,-1.081393,1,17:48:00
53.979755,-0.992203,1,09:35:00
53.952138,-1.059234,1,08:30:00
53.955459,-1.106798,2,05:20:00
53.956521,-1.092618,1,09:50:00
53.984898,-1.022855,1,11:00:00
53.948614,-1.100179,1,11:10:00
53.964399,-1.083667,1,08:15:00
53.98936,-1.067409,1,08:30:00
53.955576,-1.091282,1,06:30:00
53.924835,-1.060792,1,12:38:00
53.95441,-1.078613,1,15:40:00
53.956634,-1.149934,1,14:30:00
53.952269,-1.076008,1,21:40:00
53.905595,-1.110877,2,08:31:00
53.968211,-1.081449,1,12:20:00
53.998562,-1.054541,2,18:01:00
53.939354,-1.073856,1,14:00:00
