"row ID","Sum(Students)","new column (#1)","Sum(Census_2011)"
"Row0_Row2_Row6",44741,7322.0,273051
"Row0_Row2_Row7",44741,7322.0,273051
"Row0_Row2_Row8",44741,7322.0,273051
"Row0_Row2_Row9",44741,7322.0,273051
"Row0_Row2_Row10",44741,7322.0,273051
"Row0_Row2_Row11",44741,7322.0,273051
"Row0_Row2_Row12",44741,7322.0,273051
"Row0_Row2_Row13",44741,7322.0,273051
"Row0_Row2_Row14",44741,7322.0,273051
"Row0_Row2_Row15",44741,7322.0,273051
"Row0_Row2_Row16",44741,7322.0,273051
"Row0_Row2_Row17",44741,7322.0,273051
"Row0_Row2_Row18",44741,7322.0,273051
"Row0_Row2_Row19",44741,7322.0,273051
"Row0_Row2_Row20",44741,7322.0,273051
"Row0_Row2_Row21",44741,7322.0,273051
"Row0_Row2_Row22",44741,7322.0,273051
"Row0_Row2_Row23",44741,7322.0,273051
"Row0_Row2_Row24",44741,7322.0,273051
"Row0_Row2_Row25",44741,7322.0,273051
"Row0_Row2_Row26",44741,7322.0,273051
"Row0_Row2_Row27",44741,7322.0,273051
"Row0_Row2_Row28",44741,7322.0,273051
"Row0_Row2_Row29",44741,7322.0,273051
"Row0_Row2_Row30",44741,7322.0,273051
"Row0_Row2_Row31",44741,7322.0,273051
"Row0_Row2_Row32",44741,7322.0,273051
"Row0_Row2_Row33",44741,7322.0,273051
"Row0_Row2_Row34",44741,7322.0,273051
"Row0_Row2_Row35",44741,7322.0,273051
"Row0_Row2_Row36",44741,7322.0,273051
"Row0_Row2_Row37",44741,7322.0,273051
"Row0_Row2_Row38",44741,7322.0,273051
"Row0_Row2_Row39",44741,7322.0,273051
"Row0_Row2_Row40",44741,7322.0,273051
"Row0_Row2_Row41",44741,7322.0,273051
"Row0_Row3_Row0",44741,7322.0,273051
"Row0_Row3_Row1",44741,7322.0,273051
"Row0_Row3_Row2",44741,7322.0,273051
"Row0_Row3_Row3",44741,7322.0,273051
"Row0_Row3_Row4",44741,7322.0,273051
"Row0_Row3_Row5",44741,7322.0,273051
"Row0_Row3_Row6",44741,7322.0,273051
"Row0_Row3_Row7",44741,7322.0,273051
"Row0_Row3_Row8",44741,7322.0,273051
"Row0_Row3_Row9",44741,7322.0,273051
"Row0_Row3_Row10",44741,7322.0,273051
"Row0_Row3_Row11",44741,7322.0,273051
"Row0_Row3_Row12",44741,7322.0,273051
"Row0_Row3_Row13",44741,7322.0,273051
"Row0_Row3_Row14",44741,7322.0,273051
"Row0_Row3_Row15",44741,7322.0,273051
"Row0_Row3_Row16",44741,7322.0,273051
"Row0_Row3_Row17",44741,7322.0,273051
"Row0_Row3_Row18",44741,7322.0,273051
"Row0_Row3_Row19",44741,7322.0,273051
"Row0_Row3_Row20",44741,7322.0,273051
"Row0_Row3_Row21",44741,7322.0,273051
"Row0_Row3_Row22",44741,7322.0,273051
"Row0_Row3_Row23",44741,7322.0,273051
"Row0_Row3_Row24",44741,7322.0,273051
"Row0_Row3_Row25",44741,7322.0,273051
"Row0_Row3_Row26",44741,7322.0,273051
"Row0_Row3_Row27",44741,7322.0,273051
"Row0_Row3_Row28",44741,7322.0,273051
"Row0_Row3_Row29",44741,7322.0,273051
"Row0_Row3_Row30",44741,7322.0,273051
"Row0_Row3_Row31",44741,7322.0,273051
"Row0_Row3_Row32",44741,7322.0,273051
"Row0_Row3_Row33",44741,7322.0,273051
"Row0_Row3_Row34",44741,7322.0,273051
"Row0_Row3_Row35",44741,7322.0,273051
"Row0_Row3_Row36",44741,7322.0,273051
"Row0_Row3_Row37",44741,7322.0,273051
"Row0_Row3_Row38",44741,7322.0,273051
"Row0_Row3_Row39",44741,7322.0,273051
"Row0_Row3_Row40",44741,7322.0,273051
"Row0_Row3_Row41",44741,7322.0,273051
"Row0_Row4_Row0",44741,7322.0,273051
