Lat,Long,District,Decision
53.29773378,-6.226789378,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27518282,-6.15529258,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28443192,-6.162395243,Dun Laoghaire Rathdown,GRANT PERMISSION
53.26828535,-6.260232507,Dun Laoghaire Rathdown,GRANT PERMISSION
53.25419707,-6.140152684,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28364987,-6.111744036,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27646578,-6.130362371,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28765312,-6.176398138,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2868389,-6.214735743,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27561349,-6.10485022,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29297316,-6.138249262,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27124559,-6.257560625,Dun Laoghaire Rathdown,GRANT PERMISSION
53.26153985,-6.144510065,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28793221,-6.112788839,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2760328,-6.191735182,Dun Laoghaire Rathdown,GRANT PERMISSION
53.23751857,-6.156719214,Dun Laoghaire Rathdown,GRANT PERMISSION
53.24087269,-6.18716353,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30322772,-6.187928346,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2936989,-6.143194368,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28833616,-6.254750388,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29384374,-6.164331724,Dun Laoghaire Rathdown,GRANT PERMISSION
53.26874786,-6.153491234,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28019888,-6.140849432,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28401884,-6.149596235,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27652631,-6.235038457,Dun Laoghaire Rathdown,DECLARE INVALID (SITE NOTICE)
53.27114336,-6.144147701,Dun Laoghaire Rathdown,DECLARE INVALID (SITE NOTICE)
53.2691342,-6.122460149,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.25827777,-6.212573023,Dun Laoghaire Rathdown,GRANT PERMISSION
53.26390579,-6.141370255,Dun Laoghaire Rathdown,GRANT PERMISSION
53.24793532,-6.123578538,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28757331,-6.128860537,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27495497,-6.118831931,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29631744,-6.238196633,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29156463,-6.246396292,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27481365,-6.132966523,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30536322,-6.220472463,Dun Laoghaire Rathdown,GRANT PERMISSION
53.25429596,-6.125894241,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.29609297,-6.2603971,Dun Laoghaire Rathdown,GRANT PERMISSION FOR RETENTION
53.28619809,-6.113581633,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27078124,-6.102533805,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.29328674,-6.202769412,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28487972,-6.25343738,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29153432,-6.150877457,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29737609,-6.224425679,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29596654,-6.165962218,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28415218,-6.171060783,Dun Laoghaire Rathdown,GRANT PERMISSION
53.26107081,-6.175527125,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27519316,-6.098375088,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29228291,-6.257233691,Dun Laoghaire Rathdown,REFUSE PERMISSION FOR RETENTION
53.22595219,-6.124447297,Dun Laoghaire Rathdown,GRANT PERMISSION
53.24557924,-6.188946604,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.29161858,-6.206685416,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.22747173,-6.161082494,Dun Laoghaire Rathdown,GRANT PERMISSION
53.24191327,-6.222919271,Dun Laoghaire Rathdown,GRANT PERMISSION
53.294279,-6.264729837,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2760427,-6.185405495,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2724082,-6.137216522,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29105636,-6.129018421,Dun Laoghaire Rathdown,GRANT PERMISSION
53.24516738,-6.117420531,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30019856,-6.247534686,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28742069,-6.217266959,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.27299287,-6.246667069,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28589657,-6.204906294,Dun Laoghaire Rathdown,GRANT PERMISSION
53.26048569,-6.133482043,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.29743981,-6.213853774,Dun Laoghaire Rathdown,GRANT PERMISSION
53.25985331,-6.197975781,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29926031,-6.265329795,Dun Laoghaire Rathdown,GRANT PERMISSION
53.20841151,-6.12004742,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28850383,-6.152312878,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29627974,-6.203108729,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.30068111,-6.26663952,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2677033,-6.174573778,Dun Laoghaire Rathdown,GRANT PERMISSION
53.28993791,-6.200804806,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29307714,-6.153402257,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30681032,-6.209872162,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.30075627,-6.174548548,Dun Laoghaire Rathdown,GRANT PERMISSION
53.29377349,-6.13500965,Dun Laoghaire Rathdown,GRANT PERMISSION FOR RETENTION
53.29108106,-6.180467167,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30363446,-6.23999106,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27891208,-6.227115662,Dun Laoghaire Rathdown,GRANT PERMISSION
53.26137241,-6.204072946,Dun Laoghaire Rathdown,REFUSE PERMISSION FOR RETENTION
53.26853208,-6.173764815,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.30062396,-6.171561465,Dun Laoghaire Rathdown,GRANT PERMISSION
53.30228746,-6.264787157,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2506979,-6.219510136,Dun Laoghaire Rathdown,GRANT PERMISSION
53.23689049,-6.128132365,Dun Laoghaire Rathdown,REFUSE PERMISSION
53.29572587,-6.158482216,Dun Laoghaire Rathdown,DECLARE INVALID (SITE NOTICE)
53.29251336,-6.244946771,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27331788,-6.254354023,Dun Laoghaire Rathdown,GRANT PERMISSION
53.2884474,-6.209667462,Dun Laoghaire Rathdown,GRANT PERMISSION FOR RETENTION
53.25892706,-6.12796072,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27296383,-6.1019452,Dun Laoghaire Rathdown,GRANT PERMISSION
53.27783805,-6.21755386,Dun Laoghaire Rathdown,GRANT PERMISSION & REFUSE PERMISSION
53.2847342,-6.118610412,Dun Laoghaire Rathdown,GRANT PERMISSION
