Scheme/Project Name,Funding Programme,LA ,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre-Planning ,Stage 3 Pre-Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,Site Start,Practical Completion
"Cluain Dara, Kingscourt",CALF CONSTRUCTION TURNKEY,Cavan ,16,Cluid Housing Association,,,,,,Scheme completed in Q4 2016
"Woodlands, Ballyhaise",SHIP CONSTRUCTION,Cavan ,8,*N/A,,The scheme was Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
Butlersbridge ,SHIP CONSTRUCTION,Cavan ,6,*N/A,,The scheme was Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
"Rosehill, Mullagh (Phase 6) ",SHIP CONSTRUCTION,Cavan ,8,*N/A,The scheme was Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
"Bruachlan, Westbury, Co Clare",CALF CONSTRUCTION,Clare,22,Co-operative Ireland,,,,Approval of turnkey/construction project Q2 2016,,
"Cahercalla, Ennis (Phase 2) ",CAS CONSTRUCTION,Clare,10,Cuan an Chlair,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
"Seaview Park, Quilty",SHIP CONSTRUCTION,Clare,18,*N/A,The scheme was Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
"Laurel Lodge, Clare Road, Ennis",CAS CONSTRUCTION,Clare ,3,"Society of Saint Vincent 
de Paul",,,,,,Scheme completed in Q4 2016
"Kildysart Road, Ennis ",CAS CONSTRUCTION,Clare ,7,Clare Haven Services Ltd.,The scheme was Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
"Tullyglass, Shannon",SHIP CONSTRUCTION,Clare ,21,*N/A,,The scheme was Stage 2 approved in Q2 2016 full design/tender being prepared,,,,
Feakle,SHIP CONSTRUCTION,Clare ,10,*N/A,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
"Glor Srutha, Knockbrack Lower, Clonlara",SHIP CONSTRUCTION,Clare ,10,*N/A,The scheme was Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
"Lios Anama, Sixmilebridge, Clare",CALF CONSTRUCTION TURNKEY,Clare  ,28,Co-operative Ireland,,,,,Scheme started on site in Q3 2016,
