Official Name,Add_1,Add_2,Add_3,County,Ethos,DEIS,Number of Males in 2014,Number of Females in 2014,Total number of Students in 2014,xcoord,ycoord,Long,Lat,Roll_No
SN BEAL AN ATHA MHOIR,SCOIL NAOMH PADRAIG,BEAL AN ATHA MHOIR,CO LEITRIM,Leitrim,CATHOLIC,N,58,0,58,212580,311474,-7.8079,54.0522,18656E
FAITIMA N S,CLUANA,CARRICK ON SHANNON,CO LEITRIM,Leitrim,CATHOLIC,Y,28,28,56,214094,299550,-7.78533,53.945,18741S
ST MICHAELS NS,GLENFARNE,CO LEITRIM,,Leitrim,CATHOLIC,N,30,39,69,195639,338840,-8.06699,54.2982,19255O
DRUMKEERIN CENTRAL NS,DRUMKEERIN CENTRAL SCH,DRUMKEERIN,CO LEITRIM,Leitrim,CATHOLIC,N,43,29,72,190883,324044,-8.1396,54.1652,19360L
ACHADH NA SILEANN,ACHADH NA SILEANN,CORA DROMA RUISC,CO LIATROMA,Leitrim,CATHOLIC,Y,35,32,67,208931,313221,-7.86357,54.068,19365V
ST  PATRICKS NS,DRUMSHAMBO,CO LEITRIM,,Leitrim,CATHOLIC,N,107,120,227,197789,310890,-8.03376,54.0471,19423J
ST BRIDS,DRUMCONG CENTRAL SCHOOL,DRUMCONG,CO LEITRIM,Leitrim,CATHOLIC,N,80,83,163,201759,308896,-7.97316,54.0292,19519W
SCOIL MHUIRE,BORNACOOLA,CARRICK ON SHANNON,CO LEITRIM,Leitrim,CATHOLIC,N,36,38,74,208013,290107,-7.8782,53.8603,19554B
S N NAOMH MHUIRE,DRUMLEA,CARRIGALLEN,VIA CAVAN,Leitrim,CATHOLIC,N,19,17,36,217831,307708,-7.72794,54.0182,19600F
FOUR MASTERS NS,KINLOUGH,CO LEITRIM,,Leitrim,CATHOLIC,N,140,125,265,181302,355312,-8.28825,54.4459,20079E
MOHILL N S,MOHILL,CO LEITRIM,,Leitrim,CATHOLIC,Y,96,88,184,208524,296825,-7.87025,53.9207,20203C
GAELSCOIL LIATROMA,C L G MAOMH MHUIRE,ATTYFINLAY,CORA DROMA RÚISC,Leitrim,CATHOLIC,N,120,85,205,195192,299810,-8.07324,53.9475,20212D
Gaelscoil Chluainín,Sráid an Chaisleáin,Cluainín Uí Ruairc,Co. Liatroma,Leitrim,CATHOLIC,N,44,48,92,188346,339716,-8.17905,54.306,20260O
Scoil Mhuire,Carrick-on-Shannon,Co Leitrim,,Leitrim,CATHOLIC,N,140,173,313,194189.92,299623.57,-8.0885,53.9459,20432R
ST JOHNS CONVENT,CATHEDRAL PLACE,LIMERICK CITY,,Limerick,CATHOLIC,Y,70,222,292,158340,156884,-8.61578,52.6616,06936R
ST MICHAELS,11 BARRINGTON ST,LIMERICK,,Limerick,CHURCH OF IRELAND,N,77,60,137,157436,156408,-8.62908,52.6573,12834S
ST MICHAELS NS,CBS GROUNDS,SEXTON STREET,LIMERICK,Limerick,CATHOLIC,Y,47,10,57,157907,156565,-8.62214,52.6587,15320C
SCOIL PADRAIG NAOFA B,DUBLIN ROAD,LIMERICK,,Limerick,CATHOLIC,N,221,0,221,159013,157105,-8.60586,52.6636,16443A
SCOIL PADRAIG NAOFA C,DUBLIN ROAD,LIMERICK,,Limerick,CATHOLIC,N,0,219,219,158966,157214,-8.60657,52.6646,16444C
ST JOHN THE BAPTIST BOYS N S,DOWNEY STREET,PENNYWELL,LIMERICK,Limerick,CATHOLIC,Y,39,0,39,158464,157035,-8.61397,52.663,16715H
SCOIL IOSAGAIN,SRAID SEASNAIN,LIMERICK,,Limerick,CATHOLIC,Y,188,0,188,157940,156545,-8.62165,52.6585,16910F
SCOIL LILE NAOFA,KILEELY,LIMERICK,,Limerick,CATHOLIC,Y,31,20,51,157124,158298,-8.63394,52.6742,17445J
MARIA AUXILIATRIX N S,FERNBANK,LIMERICK,,Limerick,CATHOLIC,N,0,183,183,156782,157236,-8.63885,52.6647,17671S
OUR LADY QUEEN OF PEACE SCHOOL,JANESBORO,LIMERICK,,Limerick,CATHOLIC,Y,135,136,271,157950,155445,-8.62136,52.6487,17737W
ST MUNCHINS G N S,BALLYNANTY,LIMERICK,,Limerick,CATHOLIC,Y,36,141,177,156633,158637,-8.64124,52.6772,17941V
SCOIL MHAINCHIN BUACH,BOTHAR SIOLBROIN,LIMERICK,,Limerick,CATHOLIC,Y,56,0,56,156849,158042,-8.63797,52.6719,17942A
SCOIL MATHAIR DE,CUAR BOTHAR THEAS,LUIMNEACH,,Limerick,CATHOLIC,N,132,115,247,156843,155838,-8.63777,52.6521,18677M
SCOIL IDE,CORBALLY,LIMERICK,,Limerick,CATHOLIC,N,404,366,770,158475,158674,-8.61401,52.6777,18872K
J F K MEMORIAL SCHOOL,ENNIS RD,LIMERICK,,Limerick,CATHOLIC,N,239,0,239,156444,157372,-8.64387,52.6658,18991S
CROI RO NAOFA IOSA,FERNBANK,LIMERICK,,Limerick,CATHOLIC,N,134,130,264,156778,157183,-8.63891,52.6642,19204U
SCOIL CHRIOST RI B,CAHERDAVIN,LIMERICK City,,Limerick,CATHOLIC,N,280,0,280,155588,158306,-8.65665,52.6742,19331E
S N MUIRE NA HEIREANN,CAHERDAVIN,LIMERICK City,,Limerick,CATHOLIC,N,0,286,286,155478,158312,-8.65827,52.6742,19332G
SOUTH HILL N S,SOUTH HILL,LIMERICK,,Limerick,CATHOLIC,Y,32,20,52,158865,155166,-8.60781,52.6462,19372S
ST BRIGIDS NS,SINGLAND,LIMERICK,,Limerick,CATHOLIC,N,242,221,463,159555,156259,-8.59775,52.6561,19475F
OUR LADY OF LOURDES N S,ROSBRIEN,LIMERICK,,Limerick,CATHOLIC,Y,85,63,148,157336,155255,-8.63041,52.6469,19667O
CORPUS CHRISTI N S,MOYROSS,LIMERICK,,Limerick,CATHOLIC,Y,106,96,202,156443,159082,-8.64411,52.6812,19830W
AN MHODH SCOIL,ASCAIL UI CHONAILL,LUIMNEACH,,Limerick,CATHOLIC,N,302,301,603,157156,156144,-8.63318,52.6549,19894C
GAELSCOIL SHEOIRSE,CLANCY,AN CNOC THEAS,LUIMNEACH,Limerick,CATHOLIC,Y,44,52,96,158531,155003,-8.61272,52.6447,19931F
