Official Name,Add_1,Add_2,Add_3,County,Ethos,DEIS,Number of Males in 2014,Number of Females in 2014,Total number of Students in 2014,xcoord,ycoord,Long,Lat,Roll_No
S N CNOC AINBHIL,LR KILMACUD RD,STILLORGAN/BLACKROCK,CO DUBLIN.,Dublin,Catholic,N,0,464,464,318903,227998,-6.21677,53.289,17979A
SCOIL LORCAIN,CEARNOG EATON,BAILE NA MANACH,CO ATHA CLIATH,Dublin,Catholic,N,256,232,488,322413,228914,-6.16381,53.2964,18451J
S N SAN TREASA,THE RISE,MT MERRION,CO DUBLIN,Dublin,Catholic,N,244,200,444,319401,228641,-6.20907,53.2946,18647D
KILTERNAN N S 1,KILTERNAN,CO DUBLIN,,Dublin,Catholic,N,179,150,329,320500,222083,-6.19507,53.2355,18806U
KILL-O'-THE-GRANGE NS,DEANSGRANGE,BLACKROCK,CO DUBLIN,Dublin,CHURCH OF IRELAND,N,114,107,221,322658,226870,-6.16092,53.278,18886V
LORETO NATIONAL SCHOOL,DALKEY,CO DUBLIN,,Dublin,Catholic,N,81,292,373,326689,227211,-6.10039,53.2801,19066L
SCOIL PADRAIG NAOFA B,Hollypark,Blackrock,Co Dublin,Dublin,Catholic,N,606,0,606,321782,227067,-6.17398,53.2799,19258U
ST PATRICKS GNS,FOXROCK AVE,FOXROCK,DUBLIN 18,Dublin,Catholic,N,0,538,538,321748,227004,-6.17451,53.2794,19259W
SCOIL NA MAIGHDINE MHUIRE BOY,BROADFORD RISE,BALINTEER,DUBLIN 16,Dublin,Catholic,N,234,0,234,316256,226378,-6.25704,53.275,19314E
ST OLAFS N S,BALALLY DRIVE,DUNDRUM,DUBLIN 16,Dublin,Catholic,N,233,207,440,318344,227244,-6.22543,53.2823,19319O
OUR LADY OF GOOD COUNSEL BOYS N S,JOHNSTOWN,DUN LAOGHAIRE,CO DUBLIN,Dublin,Catholic,N,438,0,438,324249,225395,-6.13766,53.2644,19320W
OUR LADY GOOD COUNSEL GNS,JOHNSTOWN,DUN LAOGHAIRE,CO DUBLIN,Dublin,Catholic,N,9,446,455,324228,225316,-6.138,53.2636,19321B
SCOIL NA AINGEAL,NEWTOWNPARK AVE,BLACKROCK,CO DUBLIN,Dublin,Catholic,N,218,212,430,321980,228444,-6.17048,53.2923,19335M
Our lady's Grove Primary School,"Goatstown Road,",Dublin 14,,Dublin,Catholic,N,204,228,432,317670,229164,-6.23482,53.2997,19374W
NA MAIGHDINE MUIRE GIRL,BALLINTEER,DUBLIN 16,,Dublin,Catholic,N,0,277,277,316258,226354,-6.25702,53.2748,19396J
SN GLEN NA GCAORACH,WYVERN,KILLINEY RD,KILLINEY,Dublin,CHURCH OF IRELAND,N,123,121,244,325760,225972,-6.1148,53.2692,19400U
SCOIL NAITHI,BAILE AN TSAOIR,DUM DROMA,BAILE ATHA CLIATH 16,Dublin,Catholic,N,123,111,234,316002,227155,-6.26057,53.282,19437U
SCOIL COLMCILLE SENIOR,WYATTVILLE,BALLYBRACK,CO DUBLIN,Dublin,Catholic,Y,98,95,193,324547,224302,-6.13362,53.2545,19438W
SCOIL MHUIRE,SHANKILL,CO DUBLIN,,Dublin,Catholic,Y,170,138,308,325449,222264,-6.12092,53.236,19497P
ST ATTRACTAS JUNIOR N S,MEADOWBROOK,DUNDRUM,DUBLIN 16,Dublin,Catholic,N,170,169,339,316353,227012,-6.25536,53.2807,19537B
DALKEY SCHOOL PROJECT,GLENAGEARY LODGE,GLENAGEARY,CO DUBLIN,Dublin,MULTI DENOMINATIONAL,N,143,95,238,324594,226535,-6.13204,53.2745,19612M
ST COLMCILLE JUN NS,WYATTVILLE,BALLYBRACK,CO DUBLIN,Dublin,Catholic,Y,86,78,164,324540,224255,-6.13375,53.254,19641T
ST ATTRACTAS SENIOR N S,MEADOWBROOK,DUNDRUM,DUBLIN 14,Dublin,Catholic,N,170,160,330,316393,227058,-6.25474,53.2811,19716B
QUEEN OF ANGELS PRIMARY SCHOOL,WEDGEWOOD,DUNDRUM,DUBLIN 16,Dublin,Catholic,Y,127,118,245,318385,226551,-6.22508,53.2761,19723V
HOLY FAMILY SCHOOL,DUNEDIN PARK,MONKSTOWN,CO DUBLIN,Dublin,Catholic,Y,44,64,108,323177,227786,-6.15279,53.2861,19840C
ST ANNES MXD N S,STONEBRIDGE ROAD,SHANKILL,CO DUBLIN,Dublin,Catholic,N,237,241,478,324981,222037,-6.12801,53.234,19888H
BOOTERSTOWN N S,CROSS AVE,BLACKROCK,CO DUBLIN,Dublin,CHURCH OF IRELAND,N,43,54,97,320654,229305,-6.19003,53.3003,19901T
HOLY CROSS N S,UPPER KILMACUD ROAD,DUNDRUM,DUBLIN 14,Dublin,Catholic,N,112,99,211,317329,227882,-6.24041,53.2883,19904C
OUR LADYS N S,ST COLUMBANUS ROAD,MILLTOWN,DUBLIN 14,Dublin,Catholic,Y,96,84,180,316723,229327,-6.24896,53.3014,19922E
ST JOSEPHS,TIVOLI ROAD,DUN LAOGHAIRE,CO DUBLIN,Dublin,Catholic,Y,64,42,106,324094,227850,-6.13902,53.2864,19938T
SCOIL NAISIUNTA AN DEA AOIRE,WHITEHALL ROAD,CHURCHTOWN,DUBLIN 14,Dublin,Catholic,Y,103,77,180,315441,228407,-6.26852,53.2934,19939V
RATHFARNHAM EDUCATE TOGETHER,LORETO AVENUE,RATHFARNHAM,DUBLIN 14,Dublin,MULTI DENOMINATIONAL,N,104,122,226,315103,228199,-6.27366,53.2916,19945Q
ISLAMIC NATIONAL SCHOOL,19 ROEBUCK ROAD,CLONSKEAGH,DUBLIN 14,Dublin,MUSLIM,N,140,149,289,317763,229613,-6.23326,53.3037,19949B
ST JOHNS N S,BALLYBRACK,CO DUBLIN,,Dublin,Catholic,Y,82,74,156,324965,224465,-6.1273,53.2558,19960M
ST KEVINS N S,SALLYNOGGIN,CO DUBLIN,,Dublin,Catholic,Y,69,65,134,324236,226719,-6.13734,53.2762,19979K
GAELSCOIL THAOBH NA COILLE,Beallairm�n,An Ch�im,B.A.C. 18,Dublin,Catholic,N,201,180,381,319145,224703,-6.21438,53.2593,20020R
GAELSCOIL PHADRAIG,ASCAILL SHILEANN,BAILE BREAC,CO ATHA CLIATH,Dublin,Catholic,N,79,67,146,325231,223617,-6.12365,53.2482,20056P
