Official Name,Add_1,Add_2,Add_3,County,Ethos,DEIS,Number of Males in 2014,Number of Females in 2014,Total number of Students in 2014,xcoord,ycoord,Long,Lat,Roll_No
ST GABRIELS NS,DOMINICAN CAMPUS,BALLYFERMOT,DUBLIN 10,Dublin,Catholic,Y,67,143,210,310125,233774,-6.34635,53.3427,19661C
ST MICHAELS NS,DOMINICAN CONVENT,BALLYFERMOT,DUBLIN 10,Dublin,Catholic,Y,73,206,279,310073,233818,-6.34712,53.3431,19662E
ST RAPHAELS NS,DOMINICAN CONVENT,BALLYFERMOT,DUBLIN 10,Dublin,Catholic,Y,63,165,228,310097,233797,-6.34677,53.3429,19663G
ST FRANCIS SENIOR N S,PRIORSWOOD,DUBLIN 17,,Dublin,Catholic,Y,110,84,194,319371,240773,-6.20494,53.4036,19668Q
LADY OF GOOD COUNSEL NS,MOURNE RD,DRIMNAGH,DUBLIN 12,Dublin,Catholic,Y,167,0,167,312148,232374,-6.31649,53.3297,19669S
ST MARYS CENTRAL N S,BELMONT AVENUE,DONNYBROOK,DUBLIN 4,Dublin,Catholic,N,113,137,250,317403,231509,-6.23796,53.3208,19727G
OUR LADY OF WAYSIDE N S,BLUEBELL,INCHICORE,DUBLIN 12,Dublin,Catholic,Y,62,60,122,310782,232489,-6.33694,53.3311,19764M
ST JOSEPHS MXD N S,EAST WALL,DUBLIN 3,,Dublin,Catholic,Y,85,85,170,317986,235235,-6.22783,53.3542,19774P
GAELSCOIL MIDE,BOTHAR AN GHLEANTAIN,GHLAIS CILL BHARROG,BAILE ATHA CLIATH 5,Dublin,Catholic,N,120,116,236,322949,238825,-6.15193,53.3853,19777V
SCOIL CHAOIMHIN,SRAID MHAOILBHRIDE,BAILE ATHA CLIATH 1,,Dublin,Catholic,Y,20,26,46,316070,234842,-6.25673,53.3511,19831B
DRIMNAGH CASTLE CBS N S,DRIMNAGH CASTLE,DUBLIN 12,,Dublin,Catholic,N,444,0,444,311265,231728,-6.32996,53.3241,19837N
NORTH DUBLIN NS PROJECT,BALLYMUN ROAD,DUBLIN 9,,Dublin,MULTI DENOMINATIONAL,N,121,107,228,315282,238234,-6.26733,53.3817,19845M
SCOIL COLM,ARMAGH ROAD,CRUMLIN,DUBLIN 12,Dublin,Catholic,Y,119,0,119,312837,231349,-6.30651,53.3204,19889J
SCOIL CAITRIONA NA MBRAITHRE,BAGGOT ST,DUBLIN 2,,Dublin,Catholic,Y,49,42,91,316902,233182,-6.24486,53.336,19896G
GAELSCOIL MOLOGA,BOTHAR CHLAREVILLE,BAILE ATHA CLIATH 6W,,Dublin,Catholic,N,107,109,216,314319,231020,-6.2844,53.3171,19907I
ST JOSEPHS NS,MACROOM ROAD,BONNYBROOK,DUBLIN 17,Dublin,Catholic,Y,172,163,335,319566,240142,-6.20225,53.3979,19913D
ST DAVIDS N S,KILMORE ROAD,ARTANE,DUBLIN 5,Dublin,Catholic,N,329,0,329,318668,238750,-6.21627,53.3856,19919P
ST JOHN OF GOD N S,KILMORE ROAD,ARTANE,DUBLIN 5,Dublin,Catholic,Y,0,178,178,318652,239177,-6.21635,53.3894,19920A
HAROLDS CROSS N S,HAROLDS CROSS,DUBLIN 6W,,Dublin,Catholic,Y,155,116,271,314293,231021,-6.28479,53.3171,19924I
GAELSCOIL CHOLAISTE MHUIRE,4 CEARNOG PHARNELL,B.A.C. 1,,Dublin,Catholic,N,94,98,192,315771,235090,-6.26113,53.3534,19926M
RANELAGH MULTI DENOM NS,RANELAGH ROAD,DUBLIN 6,,Dublin,MULTI DENOMINATIONAL,N,124,112,236,316137,232116,-6.25673,53.3266,19928Q
ST BRIGIDS SENIOR GIRLS,FINGLAS WEST,DUBLIN 11,,Dublin,Catholic,Y,11,167,178,312487,238651,-6.30917,53.386,19929S
SCOIL TREASA NAOFA,PETRIE ROAD,DONORE AVENUE,DUBLIN 8,Dublin,Catholic,Y,85,63,148,314673,232934,-6.2784,53.3342,19933J
SCOIL EOIN,GREENDALE ROAD,DUBLIN 5,,Dublin,Catholic,Y,109,96,205,322667,238984,-6.1561,53.3868,19935N
RUTLAND STREET N S,LOWER RUTLAND STREET,DUBLIN 1,,Dublin,Catholic,Y,66,64,130,316406,235196,-6.25156,53.3542,19946S
NORTH BAY EDUCATE TOGETHER NS,GREENDALE AVENUE,KILBARRACK,DUBLIN 5,Dublin,MULTI DENOMINATIONAL,N,98,110,208,322972,238805,-6.15159,53.3851,19954R
ST MARYS N S,WINDSOR AVE,FAIRVIEW,DUBLIN 3,Dublin,Catholic,Y,56,165,221,317327,236307,-6.23732,53.3639,19981U
GRIFFITH BARRACKS MULTI D SCHOOL,THE OLD GUARDHOUSE,GRIFFITH COLLEGE,SOUTH CIRCULAR ROAD,Dublin,MULTI DENOMINATIONAL,N,122,120,242,314643,232558,-6.27898,53.3309,20012S
ST AGNES N S,ARMAGH ROAD,CRUMLIN,DUBLIN 12,Dublin,Catholic,Y,80,193,273,312854,231206,-6.30631,53.3191,20014W
GAELSCOIL BHAILE MUNNA,187 BOTHAR CHOULTRAI,BAILE MUNNA,BAILE ATHA CLIATH 9,Dublin,Catholic,Y,88,98,186,316066,240047,-6.25488,53.3978,20015B
ST BRIGIDS INFANT N S,WELLMOUNT AVENUE,FINGLAS WEST,DUBLIN 11,Dublin,Catholic,Y,98,107,205,312540,238682,-6.30836,53.3863,20029M
ST GABRIELS N S,COWPER STREET,DUBLIN 7,,Dublin,Catholic,Y,84,59,143,313868,235074,-6.28971,53.3536,20035H
GAELSCOIL BHARRA,NAOMH FIONNBARRA C.L.G.,ASCAL AN FHASAIGH,AN CHABRACH,Dublin,Catholic,N,101,109,210,313920,236282,-6.28849,53.3645,20047O
GAELSCOIL LIOS NA NOG,�ras Cullenswood,21A B�thar Oalkey,Ranallagh,Dublin,Catholic,N,99,139,238,316210,231601,-6.25582,53.3219,20048Q
GAELSCOIL CHOLMCILLE,L�na na C�l�ige,Baile �tha Cliath 17,,Dublin,Catholic,N,102,128,230,317751,239862,-6.22963,53.3958,20052H
MOTHER OF DIVINE GRACE,HOLY FAITH NS,FERNDALE AVE,BALLYGALL,Dublin,Catholic,Y,228,222,450,313995,238693,-6.2865,53.3861,20059V
OUR LADY OF CONSOLATION NS,COLLINS AVE EAST,DONNYCARNEY,DUBLIN 5,Dublin,Catholic,Y,91,153,244,318725,237478,-6.21589,53.3741,20064O
ST PETERS NS,PHIBSBORO,DUBLIN 7,,Dublin,Catholic,Y,240,216,456,314786,235976,-6.2756,53.3615,20091R
ST ULTANS NS,CHERRY ORCHARD,DUBLIN 10,,Dublin,Catholic,Y,226,180,406,308371,233046,-6.37293,53.3366,20092T
JOHN SCOTTUS NS,NORTHUMBERLAND ROAD,DUBLIN 4,,Dublin,MULTI DENOMINATIONAL,N,114,138,252,317473,232998,-6.23636,53.3342,20103V
ST AUDOENS NS,COOK STREET,DUBLIN 8,,Dublin,Catholic,Y,98,87,185,314979,234040,-6.2734,53.3441,20104A
EDUCATE TOGETHER NS,Fitzwilliam Place North,Grangegorman Lower,Dublin 7,Dublin,MULTI DENOMINATIONAL,N,204,176,380,314215,235242,-6.28444,53.3551,20131D
INCHICORE NS,SARSFIELD ROAD,INCHICORE,DUBLIN 10,Dublin,Catholic,Y,114,105,219,311941,233641,-6.31914,53.3412,20139T
NORTH DUBLIN MUSLIM NS PROJECT,Ratoath Road,Cabra,Dublin 7,Dublin,MUSLIM,N,109,119,228,313104,236142,-6.30079,53.3634,20152L
GLASNEVIN EDUCATE TOGETHER NS,CHURCH AVENUE,GLASNEVIN,DUBLIN 9,Dublin,MULTI DENOMINATIONAL,N,121,109,230,315251,237633,-6.26801,53.3763,20168D
GAELSCOIL UI EARCAIN,Bothar Glas an Ein,Fionnghlas,,Dublin,Catholic,Y,119,116,235,312405,239108,-6.31024,53.3902,20220C
ST LAURENCE O TOOLES GIRLS SCHOOL,49 SEVILLE PLACE,NORTH WALL,DUBLIN 1,Dublin,Catholic,Y,0,86,86,316998,235082,-6.24271,53.353,20228S
St Benedicts and St Marys National School,Grange Park,Raheny,Dublin 5,Dublin,Catholic,Y,74,75,149,322183,239127,-6.16332,53.3882,20281W
St. Francis of Assisi National School,Belmayne,Dublin 13,,Dublin,Catholic,N,149,157,306,322057,241379,-6.16434,53.4084,20304I
Belmayne Educate Together National School,Balgriffin Park,Belmayne,Dublin 13,Dublin,MULTI DENOMINATIONAL,Y,141,154,295,321979,241340,-6.16553,53.4081,20308Q
Holy Child National School,Larkhill Road,Whitehall,Dublin 9-,Dublin,Catholic,N,125,301,426,316813,238717,-6.24415,53.3857,20338C
De La Salle National School,Ballyfermot,Dublin 10,,Dublin,Catholic,Y,279,0,279,309664.93,233985.5,-6.35318,53.3447,20391G
St Louise de Marillac Primary School,Drumfinn Road,Ballyfermot,Co Dublin,Dublin,Catholic,Y,40,314,354,309296,234336,-6.3586,53.348,20397S
ST. JAMES'S PRIMARY SCHOOL,Basin Lane,James' Street,Dublin 8.,Dublin,Catholic,Y,130,113,243,313934.26,233612.25,-6.28924,53.3405,20429F
Portobello Educate Together School,16 Harcourt Terrace,Dublin 2,,Dublin,MULTI DENOMINATIONAL,N,19,22,41,316136.12,232673.44,-6.25654,53.3316,20430N
St Mary's Primary School,Dorset Street,Dublin 7,,Dublin,Catholic,Y,85,89,174,315626.12,235656.37,-6.2631,53.3585,20436C
St Laurence's National School,Brookstone Road,Baldoyle,Dublin 13,Dublin,Catholic,N,199,196,395,324221.45,240103.51,-6.13231,53.3965,20437E
St. Mary's National School,Lamb's Cross,Sandyford,Dublin 18,Dublin,Catholic,N,113,144,257,318189,225198,-6.22852,53.264,02872U
CLOCHAR SAN DOMINIC,DUNLAOGHAIRE,CO DUBLIN,,Dublin,Catholic,Y,84,76,160,324207,228468,-6.13709,53.292,05600C
BOOTERSTOWN BOYS,BOOTERSTOWN,BLACKROCK,CO DUBLIN,Dublin,Catholic,N,248,0,248,320102,230229,-6.19796,53.3087,06200O
ALL SAINTS N S,CARYSFORT AVE,BLACKROCK,CO DUBLIN,Dublin,CHURCH OF IRELAND,N,35,26,61,321361,228079,-6.1799,53.2891,10494K
RATHMICHAEL N S,RATHMICHAEL,SHANKILL,CO DUBLIN,Dublin,CHURCH OF IRELAND,N,109,116,225,325061,222248,-6.12673,53.2359,11873A
CARYSFORT NS,CONVENT ROAD,BLACKROCK,CO DUBLIN,Dublin,Catholic,N,259,265,524,321194,228936,-6.18208,53.2969,14586M
DALKEY N S (2),DALKEY,CO DUBLIN,,Dublin,CHURCH OF IRELAND,N,49,50,99,326575,227347,-6.10204,53.2813,14647G
HAROLD BOYS N S,DALKEY,CO DUBLIN,,Dublin,Catholic,N,121,0,121,326540,226992,-6.10271,53.2782,15132B
TANEY N S,SYDENHAM VILLAS,DUNDRUM,DUBLIN 14,Dublin,CHURCH OF IRELAND,N,246,197,443,317536,227909,-6.2373,53.2885,15284B
ST BRIGIDS BOYS N S,FOXROCK,DUBLIN 18,118,Dublin,Catholic,N,489,0,489,322194,225819,-6.16828,53.2686,16352U
ST BRIGIDS GIRLS N S,The Park,Cabinteely,Dublin 18,Dublin,Catholic,N,0,548,548,322186,225849,-6.16839,53.2689,16353W
KILTERNAN CHURCH OF IRELAND NS,KILTERNAN,CO DUBLIN,118,Dublin,CHURCH OF IRELAND,N,113,113,226,320205,222862,-6.1992,53.2425,16629O
ST BRIGIDS N S,MERVILLE  RD,STILLORGAN,BLACKROCK.  CO. DUBLIN,Dublin,CHURCH OF IRELAND,N,46,50,96,320317,227601,-6.19573,53.2851,16794G
S N NAOMH LORCAN,STILLORGAN,KILMACUD,CO DUBLIN,Dublin,Catholic,N,457,0,457,319613,227941,-6.20615,53.2883,16893I
ST RAPHAELAS N S,UPPER KILMACUD ROAD,STILLORGAN,CO DUBLIN,Dublin,Catholic,N,0,396,396,319776,227204,-6.20399,53.2816,17470I
S N PADRAIG NAOFA,GLEANN CUILLIN,CILLTIGHEARNAIN,CO ATHA CLIATH,Dublin,Catholic,N,84,100,184,319116,220556,-6.21636,53.2221,17507F
SCOIL CAOIMHIN NAOFA,MOUNT MERRION,BLACKROCK,CO DUBLIN,Dublin,Catholic,N,304,126,430,319730,228238,-6.20429,53.2909,17954H
OUR LADY OF MERCY CONVENT SCHOOL,ROSEMOUNT TERRACE,BOOTERSTOWN,CO. DUBLIN,Dublin,Catholic,N,0,219,219,320015,229822,-6.19942,53.3051,17970F
