Station,ID Number,Divisions,Murder / Assaults / Harassments and related offences 2014,Attempts or threats to murder/ assaults/ harassments and related offences 2015,Dangerous or negligent acts 2015,Robbery/ extortion and hijacking offences 2015,Burglary and related offences 2014,Burglary and related offences 2015,Theft and related offences 2015,Fraud/ deception and related offences 2015,Controlled drug offences 2015,Weapons and Explosives Offences 2014,Weapons and Explosives Offences 2015,Damage to property and to the environment 2015,Public order and other social code offences 2015,Offences against government/ justice procedures and organisation of crime 2015
Clondalkin,2012, D.M.R. Western Division ,120,137,77,43,356,476,960,46,197,46,50,384,192,55
Clones,20663, Cavan/Monaghan Division ,17,22,8,0,4,6,34,2,0,1,2,9,13,4
Clonmany,20631, Donegal Division ,5,13,2,0,1,0,3,0,1,1,1,8,25,1
Clonmel,20251, Tipperary Division ,94,107,51,6,118,106,327,26,196,21,25,94,202,33
Clonroche,20191, Wexford Division ,2,5,6,0,20,16,25,1,5,0,0,7,2,0
Clontarf,2027, D.M.R. Northern Division ,51,69,36,29,356,298,642,26,72,13,11,175,96,10
Cloughjordan,20267, Tipperary Division ,2,0,0,0,1,5,9,0,3,0,0,2,0,0
Cloyne,20329, Cork North Division ,3,1,1,0,2,2,7,0,1,0,0,5,3,4
Coachford,20363, Cork West Division ,6,10,4,0,6,8,12,0,8,1,0,6,4,0
Cobh,20306, Cork North Division ,60,48,16,1,19,13,91,5,21,1,0,53,105,4
Collon,2080, Louth Division ,5,3,2,0,10,12,10,1,0,0,0,5,1,0
Collooney,20593, Sligo/Leitrim Division ,8,14,10,0,14,23,20,2,9,0,1,19,12,7
Cong,20577, Mayo Division ,4,2,2,0,12,4,8,0,2,0,0,4,2,0
Convoy,20627, Donegal Division ,20,18,2,0,5,4,10,0,3,1,1,13,9,2
Coolaney,20595, Sligo/Leitrim Division ,2,3,1,0,5,4,3,0,3,1,0,7,0,1
Coolock,2023, D.M.R. Northern Division ,131,189,66,66,373,328,862,40,278,63,50,395,159,36
Cootehill,20688, Cavan/Monaghan Division ,22,13,9,1,23,27,51,10,2,5,2,18,15,6
Corofin,20470, Clare Division ,11,6,1,0,1,10,13,1,5,0,0,13,3,0
Corofin,20549, Galway Division ,5,3,6,0,4,8,11,0,0,0,0,3,3,0
Courtown Harbour,20182, Wexford Division ,22,23,18,0,73,107,121,3,19,6,2,64,20,6
Craughwell,20509, Galway Division ,12,2,13,1,17,15,20,3,4,0,0,3,5,0
Creggs,20519, Galway Division ,2,2,0,0,0,2,0,0,0,0,0,2,0,0
